processed,original,drive_relevance,weed_relevance,forum,support
first time drive high stop crosswalk think stop sign area live year, My first time driving high I stopped at a crosswalk thinking it was a stop sign and it was in area I've lived in for 10+ years † ,1,1,grasscity,0
catch long story not want much heres sumamry smoke friend house people lunch friend drive trip someone grab car window call cop stay cop book us school suspend although not school chance high parent big deal though open mind stupidity school board government everyones idea moral principle stay friend good person stand think right good action reward later life good part today society suspend week call parent question yeah policy bull ethic hehe good time,I got caught such a long story I do n't want to get into it that much here 's a sumamry Smoked at a friend 's house with a few people at lunch friend driving me back tripped out someone who he grabbed through the car window called the cops I was the only one who stayed with him Cops booked us school suspended me because 'although I was n't at school there was a chance I would go back high and my parents found out No big deal though opened my mind up on the stupidity of the school board/government/and everyone 's ideas of morals As said by my principle 'You stayed with your friend and I can see you are a good person who stands up for what you think is right Your good actions will be rewarded later on in life and your a good part of today 's society Your suspended for two weeks and you will have to call your parents questions me 'yeah your policy is bull**** and so are your ethics' hehe good times,1,1,marijuana,0
drive yosemite la hour drive alone leave around pmi love town good music bumpin nothing front open roadyou investigate route sure miss something fantastic pack fat bowl indo take hit every often everything smoooooooooooooooooooth, when i drive to yosemite from la thats a six hour drive. i go alone and leave around 11 pm.i love to get out of town with some good music bumpin and nothing in front of me but open road.you should investigate your route because im sure your missing something fantastic. pack a fat bowl of indo and just take a hit every so often everything should go smoooooooooooooooooooth † ,2,1,cannabis,1
ridiculous study british documentary thing call smoke dope wherein lady down bottle wine like time end drive recklessly cone course never smoke smoke bowl drive uber cautious slow never smoke understand affect much since not feeling difference tolerance study not really mean poopoo quite negative thing attribute decrease drive ability drug alone not inexperience compare experience alcohol fail first time user anything negative anxiety provoke effect usually obvious many stoner learn compensate high occasional first time user throw groove,There was this ridiculous study in a British documentary thing called Should I smoke Dope wherein this lady downed a bottle of wine like she 'd done it a few times and then ended up driving recklessly through a cone course and when never having smoked before she smoked a bowl then drove she was uber cautious and slow Having never smoked before i can understand why it affected her so much since she was not used to the feeling but because of the difference in tolerance she has the study does n't really mean poopoo she had quite a few negative things say attributing her decreased driving ability on the drug alone and not her own inexperience with it compared to her experience with alcohol FAIL For most first time users of anything the negative or most anxiety provoking effects are usually the most obvious Many stoners learn how to compensate for the high occasional or first time users would be the ones throwing off the groove,3,3,marijuana,1
dumb thing ever drive high miss turn blown far dangerous others prefer indica drive atleast sure night," Only dumb thing I've ever done driving high is missed a turn off because I'm too blown. As far as being dangerous to others, no. I prefer indica if I have to drive. Atleast I would for sure at night. † ",2,1,grasscity,1
thedanktank ok stop right drive impaired high bad ok medical marijuana user realize amount people take oxys medical reason drive time call irresponsible saying never take ur medicine drive people not smoke medicine even though need mmj card first right not drive high driving ok mmj patient not mmj patient not ok even think people influence logic sense click expand kid right not suppose drive influence anything regardless choose take medicine responsible period," TheDankTank said: Ok stop right there, you say driving impaired (high) is bad. ok... MEDICAL MARIJUANA USERS. You do realize the amount of people that take Oxy's for medical reasons that drive all the time and your calling it irresponsible? So what your saying is never take ur medicine and drive? Your telling people not to smoke their medicine even though the NEED it (because thats why they have the MMJ card in the first right?) and then not drive Being high and driving is ok if you are an MMJ patient? but if you're not an MMj patient its NOT ok even thought both people are under the SAME INFLUENCE??? Your logic makes no sense.Click to expand... You're kidding me, right? You're not suppose to be driving under the influence of ANYTHING. Regardless. If you choose to take any 'medicine' you should be responsible, period. † ",5,3,grasscity,0
yeah bit bit sucky agree target people wreckless drive influence drug totally agree law welcome england child precious wife family fact not want anyone injure even dead innocent bystander car accident direct result drug user high drive, Yeah that bit is a bit sucky for you i agree but they are trying to target people who are being wreckless and driving while under the influence of drugs. I totally agree with that law and would welcome it in england. My children are very precious to me also my wife and my family and in fact i would not want to see anyone injured or even dead being being an innocent bystander in a car accident that was a direct result from a drug user being high while driving. † ,2,1,grasscity,0
someuser drive high stupid irresponsible always remember end hurt someone people car real serious shit nt worth give weed smoker bad rep click expand grim reaper avatar take much seriously, someuser said: ? Driving high is both STUPID and IRRESPONSIBLE. Always remember that if you do end up hurting someone both you and the other people in the car can get in some real serious shit. It isnt worth it and it gives weed smokers a worse rep.Click to expand... The grim reaper avatar makes me take you much more seriously † ,1,1,cannabis,1
yeaits easy drive high sometimes super blaze drive like ten speed limit forget r cop behind keep eye road not rearview mirror spedometer end run road haha," yeaits easy to drive high but sometimes when your super blazed you will drive like ten under the speed limit,forget where you r going, and if a cop is behind you keep your eyes on the road not from rearview mirror to spedometer you will end up running off the road haha † ",2,2,grasscity,0
drive well high, i drive better when i'm high † ,1,1,grasscity,1
